date,value
2020/12/28,200 
2020/12/27,241      
2020/12/26,286      
2020/12/25,312         
2020/12/22,373              
2020/12/17,233        
2020/12/11,200        
2020/12/04,210        
2020/11/29,170      
2020/11/23,190        
2020/11/17,167       
2020/11/11,152        
2020/11/05,139 
2020/10/30,110              
2020/10/24,108       
2020/10/18,145        
2020/10/12,116              
2020/10/08,136                                   
2020/10/03,80 
2020/09/28,22       
2020/09/23,87       
2020/09/18,111       
2020/09/13,7         
2020/09/08,106       
2020/09/03,58    
2020/08/29,55       
2020/08/24,5         
2020/08/19,49        
2020/08/14,123       
2020/08/09,8                                                
2020/08/03,9   
2020/07/28,119       
2020/07/22,79       
2020/07/16,67        
2020/07/10,95        
2020/07/04,64   
2020/06/28,36                                       
2020/06/22,15       
2020/06/13,186      
2020/06/04,168      
2020/05/26,143                                                     
2020/05/17,137       
2020/05/08,616 
2020/04/29,795                                                      
2020/04/20,573  
